x_ITM,y_ITM,x_MODIS,y_MODIS,satellite,square,year,doy,evi,ndvi,QC,date
717748.41160768,761555.4872065594,-410610.89502286614,5959012.331800932,Aqua,1,2018,279,0.4774,0.73,0,2018-10-06T00:00:00Z
717980.7567309055,761561.2994908475,-410379.23866460216,5959012.331800932,Aqua,1,2018,279,0.492,0.7352,0,2018-10-06T00:00:00Z
719374.8247176566,761596.4139188173,-408989.3005150184,5959012.331800932,Aqua,1,2018,279,0.5155,0.7678,0,2018-10-06T00:00:00Z
719607.1689209382,761602.3064440821,-408757.6441567545,5959012.331800932,Aqua,1,2018,279,0.5155,0.7678,0,2018-10-06T00:00:00Z
719839.5129917666,761608.2104324421,-408525.9877984905,5959012.331800932,Aqua,1,2018,279,0.3634,0.668,0,2018-10-06T00:00:00Z
721930.6036262123,761661.8621710852,-406441.08057411487,5959012.331800932,Aqua,1,2018,279,0.47550000000000003,0.7868,1,2018-10-06T00:00:00Z
714986.3569836692,761255.3363396529,-413390.77132203366,5958780.675442669,Aqua,1,2018,279,0.5714,0.8018000000000001,0,2018-10-06T00:00:00Z
715218.7036236173,761261.0119261979,-413159.1149637697,5958780.675442669,Aqua,1,2018,266,0.6587000000000001,0.8235,0,2018-09-23T00:00:00Z
715451.0501360309,761266.6989745052,-412927.45860550576,5958780.675442669,Aqua,1,2018,266,0.3575,0.5767,0,2018-09-23T00:00:00Z
715683.3965206521,761272.3974845986,-412695.8022472418,5958780.675442669,Aqua,1,2018,266,0.4623,0.6907,0,2018-09-23T00:00:00Z
715915.7427772228,761278.1074565022,-412464.1458889778,5958780.675442669,Aqua,1,2018,266,0.5506,0.7403000000000001,0,2018-09-23T00:00:00Z
716148.0889054848,761283.8288902399,-412232.4895307139,5958780.675442669,Aqua,1,2018,279,0.5668,0.7686000000000001,0,2018-10-06T00:00:00Z
716380.4349051804,761289.5617858359,-412000.8331724499,5958780.675442669,Aqua,1,2018,279,0.47650000000000003,0.7078,0,2018-10-06T00:00:00Z
717309.8176131351,761312.607987285,-411074.20773939404,5958780.675442669,Aqua,1,2018,279,0.5309,0.7556,0,2018-10-06T00:00:00Z
717542.1629661265,761318.3981925347,-410842.5513811301,5958780.675442669,Aqua,1,2018,279,0.5383,0.7556,0,2018-10-06T00:00:00Z
717774.508189003,761324.199859788,-410610.89502286614,5958780.675442669,Aqua,1,2018,279,0.492,0.7352,0,2018-10-06T00:00:00Z
718006.8532815063,761330.0129890692,-410379.23866460216,5958780.675442669,Aqua,1,2018,279,0.492,0.7352,0,2018-10-06T00:00:00Z
719400.9210842372,761365.1324687161,-408989.3005150184,5958780.675442669,Aqua,1,2018,279,0.4799,0.7469,0,2018-10-06T00:00:00Z
719633.2652569017,761371.0258328803,-408757.6441567545,5958780.675442669,Aqua,1,2018,279,0.4799,0.7469,0,2018-10-06T00:00:00Z
721956.6996568623,761430.5899010008,-406441.08057411487,5958780.675442669,Aqua,1,2018,279,0.522,0.8111,1,2018-10-06T00:00:00Z
715244.7998377038,761029.7153491401,-413159.1149637697,5958549.019084404,Aqua,1,2018,279,0.4329,0.6927,0,2018-10-06T00:00:00Z
715477.146319243,761035.403251829,-412927.45860550576,5958549.019084404,Aqua,1,2018,279,0.4245,0.663,0,2018-10-06T00:00:00Z
715709.4926730038,761041.1026154335,-412695.8022472418,5958549.019084404,Aqua,1,2018,266,0.5333,0.7443,0,2018-09-23T00:00:00Z
715941.8388987278,761046.8134399777,-412464.1458889778,5958549.019084404,Aqua,1,2018,266,0.5750000000000001,0.7736000000000001,0,2018-09-23T00:00:00Z
717335.913549857,761081.3190683237,-411074.20773939404,5958549.019084404,Aqua,1,2018,279,0.4714,0.7003,0,2018-10-06T00:00:00Z
717568.2588721013,761087.1101201206,-410842.5513811301,5958549.019084404,Aqua,1,2018,279,0.5383,0.7556,0,2018-10-06T00:00:00Z
717800.6040642455,761092.9126330506,-410610.89502286614,5958549.019084404,Aqua,1,2018,279,0.5146000000000001,0.733,0,2018-10-06T00:00:00Z
719427.0167447685,761133.8511373432,-408989.3005150184,5958549.019084404,Aqua,1,2018,279,0.4693,0.7469,0,2018-10-06T00:00:00Z
721750.4521753007,761193.3089300564,-406672.73693237884,5958549.019084404,Aqua,1,2018,271,0.5698,0.8167,1,2018-09-28T00:00:00Z
721982.794981513,761199.3177476014,-406441.08057411487,5958549.019084404,Aqua,1,2018,271,0.5243,0.7851,1,2018-09-28T00:00:00Z
714109.1611848349,760770.1470095816,-414317.39675508946,5958317.362726141,Aqua,1,2018,279,0.505,0.7498,1,2018-10-06T00:00:00Z
714341.5082704603,760775.7784665959,-414085.74039682554,5958317.362726141,Aqua,1,2018,266,0.6024,0.8025,1,2018-09-23T00:00:00Z
715270.8953456281,760798.4188941522,-413159.1149637697,5958317.362726141,Aqua,1,2018,279,0.4617,0.7136,0,2018-10-06T00:00:00Z
715503.2417962973,760804.1076510348,-412927.45860550576,5958317.362726141,Aqua,1,2018,279,0.4799,0.7086,0,2018-10-06T00:00:00Z
715735.5881192017,760809.8078679629,-412695.8022472418,5958317.362726141,Aqua,1,2018,266,0.5750000000000001,0.7792,0,2018-09-23T00:00:00Z
715967.9343140834,760815.5195449601,-412464.1458889778,5958317.362726141,Aqua,1,2018,266,0.5750000000000001,0.7792,0,2018-09-23T00:00:00Z
717129.6633591255,760844.2498318271,-411305.864097658,5958317.362726141,Aqua,1,2018,279,0.5135,0.7495,0,2018-10-06T00:00:00Z
717362.0087804554,760850.0302697459,-411074.20773939404,5958317.362726141,Aqua,1,2018,279,0.5135,0.7495,0,2018-10-06T00:00:00Z
717594.3540719573,760855.8221679028,-410842.5513811301,5958317.362726141,Aqua,1,2018,279,0.5146000000000001,0.733,0,2018-10-06T00:00:00Z
719220.7674556233,760896.6863437293,-409220.9568732824,5958317.362726141,Aqua,1,2018,279,0.337,0.6829000000000001,0,2018-10-06T00:00:00Z
719453.1116992165,760902.5699246743,-408989.3005150184,5958317.362726141,Aqua,1,2018,279,0.46240000000000003,0.7565000000000001,0,2018-10-06T00:00:00Z
719685.4558106601,760908.4649660786,-408757.6441567545,5958317.362726141,Aqua,1,2018,279,0.46240000000000003,0.7565000000000001,0,2018-10-06T00:00:00Z
721776.5468243691,760962.0360634938,-406672.73693237884,5958317.362726141,Aqua,1,2018,271,0.5043,0.7761,1,2018-09-28T00:00:00Z
713205.8666628635,760516.4317221413,-415244.0221881453,5958085.706367876,Aqua,1,2018,269,0.5279,0.6971,1,2018-09-26T00:00:00Z
