Plant_ID;Variety;Treatment;Chamber;Biomass1;Biomass2;Height;Phyllochron12;Phyllochron13;Phyllochron14;Phyllochron23;Phyllochron24;Phyllochron34;Phyllochron1S;Type
245;Abergain;eCO2W;7;0,0400;1,293;42,2;10;19;22;9;12;3;39;Cultivar
246;Aspect;eCO2W;7;0,1040;1,097;42,7;11;17;26;6;15;9;47;Cultivar
247;Semi-natural6;eCO2W;7;0,3410;4,357;35,9;10;16;28;6;18;12;42;Semi
248;Semi-natural7;eCO2W;7;0,0000;0,294;33,2;13;22;32;9;19;10;42;Semi
249;Semi-natural11;eCO2W;7;0,1950;4,189;33,6;8;14;17;6;9;3;33;Semi
250;Wild4;eCO2W;7;0,1160;2,315;36,4;9;15;30;6;21;15;48;Wild
251;Wild6;eCO2W;7;0,0720;3,543;61,7;8;17;26;9;18;9;37;Wild
252;Wild7;eCO2W;7;0,0950;2,584;30,5;9;15;27;6;18;12;45;Wild
253;Moy;eCO2;8;0,0000;0,186;40,3;5;8;15;3;10;7;-43842;Cultivar
254;Lilora;eCO2;8;0,0240;1,119;45,1;11;17;26;6;15;9;40;Cultivar
255;Solomon;eCO2;8;0,0510;1,286;45,4;10;19;28;9;18;9;39;Cultivar
256;Carraig;eCO2;8;0,2050;2,823;44,6;10;19;31;9;21;12;45;Cultivar
257;Dunluce;eCO2;8;0,0650;1,372;51,8;10;19;25;9;15;6;43;Cultivar
258;Aberchoice;eCO2;8;0,0270;0,447;37,4;12;21;30;9;18;9;44;Cultivar
259;Abergain;eCO2;8;0,0570;1,665;55,3;12;21;30;9;18;9;37;Cultivar
260;Aspect;eCO2;8;0,0990;1,553;51;11;17;29;6;18;12;47;Cultivar
261;Semi-natural6;eCO2;8;0,0300;0,883;27,1;11;17;26;6;15;9;51;Semi
262;Semi-natural7;eCO2;8;0,0260;0,522;33,6;12;15;24;3;12;9;52;Semi
263;Semi-natural11;eCO2;8;0,0210;0,135;18,7;13;22;32;9;19;10;46;Semi
264;Wild4;eCO2;8;0,0340;0,822;34,2;11;17;26;6;15;9;44;Wild
265;Wild6;eCO2;8;0,0170;0,621;46,1;9;15;21;6;12;6;49;Wild
266;Wild7;eCO2;8;0,0230;0,645;28,8;8;14;23;6;15;9;37;Wild
267;Moy;eCO2;8;0,0204;0,726;32,6;9;15;24;6;15;9;42;Cultivar
268;Lilora;eCO2;8;0,1190;2,592;51;12;18;30;6;18;12;51;Cultivar
269;Solomon;eCO2;8;0,1050;3,209;34,8;12;18;30;6;18;12;55;Cultivar
270;Carraig;eCO2;8;0,2760;4,975;51,5;13;19;22;6;9;3;45;Cultivar
271;Dunluce;eCO2;8;0,0090;0,337;41,3;12;21;31;9;19;10;52;Cultivar
272;Aberchoice;eCO2;8;0,1180;2,398;44,6;13;19;28;6;15;9;49;Cultivar
273;Abergain;eCO2;8;0,0800;1,671;45,9;11;17;26;6;15;9;43;Cultivar
274;Aspect;eCO2;8;0,1320;2,571;47,8;11;17;26;6;15;9;40;Cultivar
275;Semi-natural6;eCO2;8;0,0340;0,23;13,5;11;20;26;9;15;6;43;Semi
276;Semi-natural7;eCO2;8;0,0000;0,234;36;10;16;20;6;10;4;-43837;Semi
277;Semi-natural11;eCO2;8;0,1170;1,441;31,3;12;18;30;6;18;12;37;Semi
278;Wild4;eCO2;8;0,0440;0,842;33,6;8;17;23;9;15;6;37;Wild
279;Wild6;eCO2;8;0,1110;1,786;34,2;11;17;26;6;15;9;47;Wild
280;Wild7;eCO2;8;0,0970;1,957;33,6;11;17;26;6;15;9;43;Wild
281;Moy;eCO2;8;0,1600;4,43;37,5;9;18;27;9;18;9;44;Cultivar
282;Lilora;eCO2;8;0,1440;3,433;39,8;9;18;27;9;18;9;44;Cultivar
283;Solomon;eCO2;8;0,2260;3,623;39,1;7;9;27;2;20;18;41;Cultivar
284;Carraig;eCO2;8;0,4470;6,914;44,1;8;10;19;2;11;9;45;Cultivar
285;Dunluce;eCO2;8;0,1740;2,642;35,8;9;15;24;6;15;9;45;Cultivar
286;Aberchoice;eCO2;8;0,1350;1,224;38,5;9;18;27;9;18;9;37;Cultivar
